url_path,views_total,views_unique
/Fevol/obsidian-translate,126,90
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,28,22
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,10,8
/Fevol/obsidian-translate/blob/master/docs/API.md,5,3
/Fevol/obsidian-translate/issues,4,2
/fevol/obsidian-translate,3,3
/Fevol/obsidian-translate/issues/new,3,3
/Fevol/obsidian-translate/security,3,2
/Fevol/obsidian-translate/releases/tag/1.4.4,2,2
/Fevol/obsidian-translate/blob/30aa93d190cbe30a2bc2390d8e96b04606e89e3c/src/ui/translator-components/ViewPage.svelte,2,1
