time_iso8601,stars_cumulative
2022-06-18 00:00:00+00:00,1
2022-06-22 00:00:00+00:00,2
2022-06-23 00:00:00+00:00,4
2022-06-24 00:00:00+00:00,6
2022-06-26 00:00:00+00:00,7
2022-08-05 00:00:00+00:00,8
2022-08-23 00:00:00+00:00,9
2022-08-27 00:00:00+00:00,10
2022-09-03 00:00:00+00:00,11
2022-09-13 00:00:00+00:00,12
2022-09-19 00:00:00+00:00,13
2022-09-23 00:00:00+00:00,14
2022-09-27 00:00:00+00:00,15
2022-10-04 00:00:00+00:00,16
2022-11-03 00:00:00+00:00,17
2022-11-06 00:00:00+00:00,19
2022-11-20 00:00:00+00:00,20
2022-11-22 00:00:00+00:00,21
2022-12-02 00:00:00+00:00,22
2022-12-05 00:00:00+00:00,24
2022-12-07 00:00:00+00:00,25
2022-12-10 00:00:00+00:00,26
2022-12-28 00:00:00+00:00,27
2022-12-29 00:00:00+00:00,29
2022-12-30 00:00:00+00:00,30
2023-01-08 00:00:00+00:00,33
2023-01-10 00:00:00+00:00,34
2023-01-16 00:00:00+00:00,35
2023-01-27 00:00:00+00:00,36
2023-02-04 00:00:00+00:00,37
2023-02-11 00:00:00+00:00,38
2023-02-16 00:00:00+00:00,39
2023-02-27 00:00:00+00:00,40
2023-03-09 00:00:00+00:00,41
2023-03-25 00:00:00+00:00,42
2023-04-10 00:00:00+00:00,43
2023-04-21 00:00:00+00:00,44
2023-05-05 00:00:00+00:00,45
2023-05-13 00:00:00+00:00,46
